Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
& Green,114.18635,South-east Asia,22.30367,"SHOP 1B, G/F., HARBOUR PLACE, 8 OI KING STREET, HUNG HOM, KOWLOON",52,"Thai, Seafood",RR,,2019-06-13,Causeway Bay,Seafood,$101-200,201901
---,113.96675,Hong Kong Style,22.37257,"SHOP NOS. 17 & 96, OCEAN WALK, 168-236 WU CHUI ROAD, TUEN MUN, NEW TERRITORIES",93,BBQ,RL,,2019-10-22,Kwun Tong,BBQ,$201-400,201901
---,114.02335,Hong Kong Style,22.43814,"G/F, 453B MA TIN TSUEN, SHAP PAT HEUNG, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,,2019-11-22,Kwun Tong,BBQ,$201-400,201901
---,114.02531,Hong Kong Style,22.4421,"SHOP 7, G/F, ON NING BUILDING, 20-30B MA TIN ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,#G#H,2019-08-17,Kwun Tong,BBQ,$201-400,201901
---,114.12864,Hong Kong Style,22.50406,"SHOP A, B, C, D, G/F, 16 FU HING STREET, SHEUNG SHUI, NEW TERRITORIES",96,BBQ,RR,,2019-08-10,Kwun Tong,BBQ,$201-400,201901
---,114.17002,Hong Kong Style,22.31998,"1/F, FORTUNE CREST, 138 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,BBQ,RL,,2020-01-14,Kwun Tong,BBQ,$201-400,201901
---,114.17192,Hong Kong Style,22.36343,"SHOP NO. 117, G/F, HIN KENG SHOPPING CENTRE, HIN KENG ESTATE, 69 CHE KUNG MIU ROAD, SHA TIN, NEW TERRITORIES",97,BBQ,RR,,2019-08-31,Kwun Tong,BBQ,$201-400,201901
---,114.20534,Hong Kong Style,22.3819,"STALL NOS. 33, 34 AND 35, G/F, YU CHUI LUCKY MARKET, YU CHUI SHOPPING CENTRE, YU CHUI COURT, SHA TIN, NEW TERRITORIES",97,BBQ,RL,,2019-09-07,Kwun Tong,BBQ,$201-400,201901
---           /   HK Diner,114.00468,Hong Kong Style,22.45704,"SHOP G01C, G/F, PHASE 2, KINGSWOOD GINZA, 12-18 TIN YAN ROAD, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",94,Tea Restaurant,RL,,2019-08-11,Wong Tai Sin,Tea Restaurant,$51-100,201901
.TAPS,114.27187,,22.3795,"G/F, NO. 34 SEE CHEUNG STREET, SAI KUNG, NEW TERRITORIES",98,,RR,,2019-05-14,,,,201901
/,114.22575,Western,22.31561,"G/F, 109 HIP WO STREET , KWUN TONG, KOWLOON",51,"Western, All Day Breakfast",RR,,2019-01-23,Wan Chai,All Day Breakfast,$51-100,201901
/,114.2261,Western,22.31123,"SHOP G26-G27, G/F, KWUN TONG PLAZA, 68 HOI YUEN ROAD, KWUN TONG, KOWLOON",51,"Western, All Day Breakfast",RR,,2019-05-02,Wan Chai,All Day Breakfast,$51-100,201901
/,114.22941,Western,22.32075,"SHOP 217A, 2/F, HIU LAI SHOPPING CENTRE, HIU LAI COURT, HIU KWONG STREET, SAU MAU PING, KOWLOON",51,"Western, All Day Breakfast",RR,,2019-03-06,Wan Chai,All Day Breakfast,$51-100,201901
001 Company Limited,114.20959,Japanese,22.29144,"SHOP G1 OF LOWER G/F AND SHOP G2 OF UPPER G/F., WELLEY BUILDING, 97 WELLINGTON STREET, CENTRAL, HONG KONG",18,"Japanese, Western",RR,,2019-06-26,Western District,Western,$201-400,201901
02 PUB,114.16998,Western,22.31164,"G/F & C/L, 262-264 TEMPLE STREET, JORDAN, KOWLOON",61,International,RL,#C,2019-03-04,Tin Hau,Wine,$201-400,201901
1+2豬扒餐廳,114.16842,Hong Kong Style,22.31685,"MAJOR PORTION OF G/F, 511 SHANGHAI STREET, MONG KOK, KOWLOON",62,Tea Restaurant,RL,,2019-03-21,Tuen Mun,Tea Restaurant,Below $50,201901
1/16 Coffee Co,114.15465,Western,22.28261,"SHOP 1, LG/F., 1 LYNDHURST TOWER, NO. 1 LYNDHURST TERRACE, NO. 78 WELLINGTON STREET, CENTRAL, HONG KONG",18,Western,RR,,2019-10-07,Cheung Sha Wan,Coffee Shop,$51-100,201901
10 ST. FRANCIS,114.16944,Western,22.27608,"G/F., 10 ST. FRANCIS STREET, WANCHAI, HONG KONG",12,Western,RR,,2019-05-23,Wan Chai,Wine,$101-200,201901
10 Shanghai,114.18561,Mainland China,22.27864,"SHOP NO. 101, 1/F., LEE GARDENS TWO, 28 YUN PING ROAD, CAUSEWAY BAY, HONG KONG",12,Stir-Fry,RL,,2019-08-05,Causeway Bay,Stir-Fry,$201-400,201901
100米 & 意葡點,114.10172,Hong Kong Style,22.37161,"SHOP NOS. 5 & 10, GROUND FLOOR, BELVEDERE SQUARE OF BELVEDERE GARDEN PHASE 3, 625 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",92,Noodles/Rice Noodles,RL,,2019-10-27,Wan Chai,Noodles/Rice Noodles,$101-200,201901
101,114.18179,Taiwan,22.27893,"29/F., SOUNDWILL PLAZA II - MIDTOWN, 1-23 TANG LUNG STREET, CAUSEWAY BAY, HONG KONG",12,,RL,,2019-08-06,Causeway Bay,Hot Pot,$201-400,201901
101 Taiwanese Cuisine,114.16966,Hong Kong Style,22.32177,"G/F, 208 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,,RL,,2019-09-07,Tsing Yi,Taiwan,$51-100,201901
